competition_edition_id,competition_id,competition_name,season_id,season_name,player_id,player_name,player_short_name,player_birthdate,team_id,team_name,position_group,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count_p30tip,pass_count_goalwithin10s_p30tip,pass_count_shotwithin10s_p30tip,pass_count_attempted_total,pass_count_attempted_p30tip,pass_count_completed_p30tip,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted_p30tip,pass_count_onetouch_attempted_p30tip,pass_count_quickpass_attempted_p30tip,pass_count_onetouch_dangerous_attempted_p30tip,pass_count_quickpass_dangerous_attempted_p30tip,passopportunity_count_linebreak_p30tip,pass_count_linebreak_attempted_p30tip,pass_count_linebreak_completed_p30tip,passopportunity_count_torun_p30tip,pass_count_torun_attempted_p30tip,pass_count_torun_completed_p30tip,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s_p30tip,pass_count_torun_goalwithin10s_p30tip,passopportunity_count_dangerous_p30tip,pass_count_dangerous_attempted_p30tip,pass_pct_dangerous_completed,pass_count_dangerous_completed_p30tip,pass_count_difficultpass_attempted_p30tip
870,61,AUS - A-League,95,2024/2025,797298,Adam Zimarino,A. Zimarino,2001-08-28,1802,Brisbane Roar FC,Wide Attacker,64.67,11.69,24.37,1,1,0,30.0,76.99,0.0,0.0,10.0,25.66,17.96,70.0,78.5,9.48,0.0,7.7,0.0,0.0,0.0,2.57,0.0,0.0,17.96,5.13,0.0,0.0,42.76,0.0,0.0,15.4,5.13,0.0,0.0,7.7
870,61,AUS - A-League,95,2024/2025,799092,Matthew Sheridan,M. Sheridan,2004-05-09,867,Wellington Phoenix FC,Central Defender,88.94,24.48,28.88,8,7,1,842.0,147.42,0.0,0.53,330.0,57.78,50.6,87.57,90.83,16.04,2.98,10.68,21.53,0.0,0.0,37.12,10.68,7.0,20.66,7.53,6.13,81.4,83.25,0.0,0.0,2.8,0.53,66.67,0.35,5.95
870,61,AUS - A-League,95,2024/2025,799092,Matthew Sheridan,M. Sheridan,2004-05-09,867,Wellington Phoenix FC,Full Back,98.83,32.52,30.24,1,1,0,158.0,145.76,0.0,0.92,62.0,57.2,47.97,83.87,87.78,15.55,0.92,11.99,15.68,0.92,0.92,47.97,20.3,16.61,28.6,11.99,10.15,84.62,84.81,0.0,0.0,6.46,2.77,33.33,0.92,8.3
870,61,AUS - A-League,95,2024/2025,799092,Matthew Sheridan,M. Sheridan,2004-05-09,867,Wellington Phoenix FC,Midfield,87.28,19.79,27.99,8,8,0,519.0,98.34,0.0,1.71,169.0,32.02,26.91,84.02,86.91,14.28,0.76,10.23,6.82,0.19,0.57,13.83,4.17,3.41,14.59,6.25,4.93,78.79,77.92,0.95,0.0,10.42,2.08,81.82,1.71,3.98
870,61,AUS - A-League,95,2024/2025,799092,Matthew Sheridan,M. Sheridan,2004-05-09,867,Wellington Phoenix FC,Wide Attacker,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,61,AUS - A-League,95,2024/2025,799453,Nathan Walker,N. Walker,2006-01-30,867,Wellington Phoenix FC,Full Back,84.72,25.46,26.48,2,2,0,157.0,92.48,0.0,0.0,54.0,31.81,25.33,79.63,83.07,14.79,0.59,10.01,4.12,1.18,0.59,10.01,1.18,0.59,24.74,7.07,5.3,75.0,76.41,0.0,0.0,14.73,4.12,57.14,2.36,6.48
870,61,AUS - A-League,95,2024/2025,799453,Nathan Walker,N. Walker,2006-01-30,867,Wellington Phoenix FC,Midfield,61.25,13.78,21.88,1,1,0,28.0,60.96,0.0,0.0,11.0,23.95,21.77,90.91,86.54,12.79,2.18,13.06,6.53,0.0,0.0,0.0,0.0,0.0,13.06,6.53,6.53,100.0,85.5,0.0,0.0,0.0,0.0,,0.0,2.18
870,61,AUS - A-League,95,2024/2025,800322,Joshua Inserra,J. Inserra,2005-01-21,868,Melbourne Victory Football Club,Full Back,87.76,23.74,21.48,4,4,0,391.0,123.54,0.63,3.48,149.0,47.08,39.81,84.56,83.43,15.11,1.9,10.11,12.95,0.32,0.0,26.22,9.16,6.95,33.81,13.59,11.06,81.4,75.39,1.58,0.0,9.79,3.16,50.0,1.58,9.16
870,61,AUS - A-League,95,2024/2025,800913,Nathan Amanatidis,N. Amanatidis,2006-01-23,1802,Brisbane Roar FC,Center Forward,67.32,13.24,18.76,1,1,0,36.0,81.57,2.27,2.27,9.0,20.39,18.13,88.89,79.91,13.61,0.0,11.33,2.27,0.0,0.0,0.0,0.0,0.0,27.19,6.8,6.8,100.0,93.14,0.0,0.0,29.46,2.27,100.0,2.27,4.53
870,61,AUS - A-League,95,2024/2025,800913,Nathan Amanatidis,N. Amanatidis,2006-01-23,1802,Brisbane Roar FC,Wide Attacker,60.35,14.02,22.3,1,1,0,18.0,38.52,0.0,0.0,6.0,12.84,10.7,83.33,90.36,12.4,0.0,8.56,0.0,0.0,0.0,0.0,0.0,0.0,12.84,2.14,2.14,100.0,61.46,0.0,0.0,6.42,2.14,100.0,2.14,2.14
